file,sha256_12,canonical_id,canonical_name,is_canonical,twins,twins_elsewhere,width,height,series,stray_class,consumers,entity_folders,provenance_1_7_10,fan_out_targets
alien.png,3e274d9e4553,img_3e274d9e4553,alien.png,yes,myalien.png,,256,128,,,AlienRenderer,alien;alien_boss,MyAlien.png,myalien.png
alosaurus.png,2c03ee764782,img_2c03ee764782,alosaurus.png,yes,,,128,128,,,AlosaurusRenderer,alosaurus,alosaurus.png,
amethyst_1.png,929708899e95,img_929708899e95,amethyst_1.png,yes,,models/armor/amethyst_layer_1.png,64,32,amethyst_1..2 x2,armor sheet stray: the shipped armor layer is textures/models/armor/amethyst_layer_1.png (byte-identical),,,amethyst_1.png,
amethyst_2.png,e6b6ffd10324,img_e6b6ffd10324,amethyst_2.png,yes,,models/armor/amethyst_layer_2.png,64,32,amethyst_1..2 x2,armor sheet stray: the shipped armor layer is textures/models/armor/amethyst_layer_2.png (byte-identical),,,amethyst_2.png,
ant.png,2223e19e6634,img_2223e19e6634,ant.png,yes,,,64,32,,,AntGeoReplacement;AntRenderer,ant,ant.png,
antrobot.png,c66c9d0e9900,img_c66c9d0e9900,antrobot.png,yes,antrobottexture.png,,128,256,,,AntRobotRenderer,ant_robot,AntRobottexture.png,antrobottexture.png
antrobottexture.png,c66c9d0e9900,img_c66c9d0e9900,antrobot.png,no,antrobot.png,,128,256,,,,ant_robot,AntRobottexture.png,
apple_cow.png,ba0b1a53460f,img_ba0b1a53460f,redcow.png,no,red_cow.png;redcow.png,,64,32,,,AppleCowRenderer,apple_cow;red_cow,red_cow.png,
attacksquid.png,dd8a058f39b7,img_dd8a058f39b7,attacksquid.png,yes,,,64,32,,,AttackSquidRenderer,attack_squid,AttackSquid.png,
attitudeadjustertexture.png,4f0b66f127d4,img_4f0b66f127d4,attitudeadjustertexture.png,yes,,item/attitudeadjustertexture.png,128,256,,"item-renderer texture (a held weapon/tool model), not a mob",OreSpawnItemRenderer,,AttitudeAdjustertexture.png,
bandp_bandit.png,bdb327b3e7ef,img_bdb327b3e7ef,bandp_bandit.png,yes,bandptexture.png,,64,128,,,BandPRenderer,band_p,BandPtexture.png,bandptexture.png
bandp_pirate.png,69e11d73d5f1,img_69e11d73d5f1,bandp_pirate.png,yes,squidzookatexture.png,item/squidzookatexture.png,128,128,,,BandPRenderer,band_p,SquidZookatexture.png,squidzookatexture.png
bandptexture.png,bdb327b3e7ef,img_bdb327b3e7ef,bandp_bandit.png,no,bandp_bandit.png,,64,128,,,,band_p,BandPtexture.png,
baryonyx.png,76ba9dd1b2b2,img_76ba9dd1b2b2,baryonyx.png,yes,,,128,128,,,BaryonyxRenderer,baryonyx,Baryonyx.png,
basilisk.png,ab568d4e0020,img_ab568d4e0020,basilisk.png,yes,,,256,64,,,BasiliskRenderer,basilisk,basilisk.png,
battleaxetexture.png,036706e86a25,img_036706e86a25,battleaxetexture.png,yes,,item/battleaxetexture.png,128,64,,"item-renderer texture (a held weapon/tool model), not a mob",OreSpawnItemRenderer,,BattleAxetexture.png,
beaver.png,aeb70cb65ebd,img_aeb70cb65ebd,beaver.png,yes,beavertexture.png,,64,32,,,BeaverGeoReplacement;BeaverRenderer,beaver,Beavertexture.png,beavertexture.png
beavertexture.png,aeb70cb65ebd,img_aeb70cb65ebd,beaver.png,no,beaver.png,,64,32,,,,beaver,Beavertexture.png,
bee.png,a70beb634a7a,img_a70beb634a7a,bee.png,yes,beetexture.png,,256,256,,,BeeRenderer,bee,Beetexture.png,beetexture.png
beetexture.png,a70beb634a7a,img_a70beb634a7a,bee.png,no,bee.png,,256,256,,,,bee,Beetexture.png,
beetletexture.png,512775db3c80,img_512775db3c80,herculesbeetle.png,no,herculesbeetle.png,,256,256,,,,hercules_beetle,Beetletexture.png,
berthatexture.png,0e17bbdac178,img_0e17bbdac178,berthatexture.png,yes,,item/berthatexture.png,64,128,,"item-renderer texture (a held weapon/tool model), not a mob",OreSpawnItemRenderer,,Berthatexture.png,
bikini0.png,667e4ea6071d,img_667e4ea6071d,bikini0.png,yes,,,64,32,bikini0..17 x18,,,,bikini0.png,
bikini1.png,3362470e711d,img_3362470e711d,bikini1.png,yes,,,64,32,bikini0..17 x18,,,,bikini1.png,
bikini10.png,06052b869a80,img_06052b869a80,bikini10.png,yes,,,64,32,bikini0..17 x18,,,,bikini10.png,
bikini11.png,b724b012de4b,img_b724b012de4b,bikini11.png,yes,,,64,32,bikini0..17 x18,,,,bikini11.png,
bikini12.png,4cad96f14cc1,img_4cad96f14cc1,bikini12.png,yes,,,64,32,bikini0..17 x18,,,,bikini12.png,
bikini13.png,923b354826ed,img_923b354826ed,bikini13.png,yes,,,64,32,bikini0..17 x18,,,,bikini13.png,
bikini14.png,b12c6225c9d4,img_b12c6225c9d4,bikini14.png,yes,,,64,32,bikini0..17 x18,,,,bikini14.png,
bikini15.png,cde04e378953,img_cde04e378953,bikini15.png,yes,,,64,32,bikini0..17 x18,,,,bikini15.png,
bikini16.png,8090228ec6f0,img_8090228ec6f0,bikini16.png,yes,,,64,32,bikini0..17 x18,,,,bikini16.png,
bikini17.png,32a2d695549f,img_32a2d695549f,bikini17.png,yes,,,64,32,bikini0..17 x18,,,,bikini17.png,
bikini2.png,ee762ce4729c,img_ee762ce4729c,bikini2.png,yes,,,64,32,bikini0..17 x18,,,,bikini2.png,
bikini3.png,ae042f687b94,img_ae042f687b94,bikini3.png,yes,,,64,32,bikini0..17 x18,,,,bikini3.png,
bikini4.png,d3719b430e0a,img_d3719b430e0a,bikini4.png,yes,,,64,32,bikini0..17 x18,,,,bikini4.png,
bikini5.png,c99b73f293b4,img_c99b73f293b4,bikini5.png,yes,,,64,32,bikini0..17 x18,,,,bikini5.png,
bikini6.png,8dff7db6d579,img_8dff7db6d579,bikini6.png,yes,,,64,32,bikini0..17 x18,,,,bikini6.png,
bikini7.png,6df664d676c1,img_6df664d676c1,bikini7.png,yes,,,64,32,bikini0..17 x18,,,,bikini7.png,
bikini8.png,ba6219fde958,img_ba6219fde958,bikini8.png,yes,,,64,32,bikini0..17 x18,,,,bikini8.png,
bikini9.png,06fd7daaefff,img_06fd7daaefff,bikini9.png,yes,,,64,32,bikini0..17 x18,,,,bikini9.png,
bird1.png,1eb0c1b175ef,img_1eb0c1b175ef,bird1.png,yes,,,64,32,bird1..6 x6,,CockateilGeoReplacement;CockateilRenderer;RubyBirdGeoReplacement,cockateil;ruby_bird,Bird1.png,
bird2.png,ca1827a61b2e,img_ca1827a61b2e,bird2.png,yes,,,64,32,bird1..6 x6,,CockateilRenderer,cockateil;ruby_bird,Bird2.png,
bird3.png,0e327e96fda2,img_0e327e96fda2,bird3.png,yes,,,64,32,bird1..6 x6,,CockateilRenderer,cockateil;ruby_bird,Bird3.png,
bird4.png,d197a5fafa3a,img_d197a5fafa3a,bird4.png,yes,,,64,32,bird1..6 x6,,CockateilRenderer,cockateil;ruby_bird,Bird4.png,
bird5.png,ebc187d05712,img_ebc187d05712,bird5.png,yes,,,64,32,bird1..6 x6,,CockateilRenderer,cockateil;ruby_bird,Bird5.png,
bird6.png,f8d2fae70e42,img_f8d2fae70e42,bird6.png,yes,,,64,32,bird1..6 x6,,CockateilRenderer,cockateil;ruby_bird,Bird6.png,
blisterbug.png,1ddd3674bd31,img_1ddd3674bd31,spitbug.png,no,spitbug.png,,512,256,,,,spit_bug,BlisterBug.png,
blue_queen.png,d20ca5ae8d1a,img_d20ca5ae8d1a,blue_queen.png,yes,,,2048,2048,,,QueenModel,the_queen,,
botwtexture.png,32b8477c377e,img_32b8477c377e,dungeonbeast.png,no,cannon_fodder.png;dungeonbeast.png,,128,64,,,,cannon_fodder;dungeon_beast,Botwtexture.png,
boyfriend0.png,1090856f4066,img_1090856f4066,boyfriend0.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend0.png,
boyfriend1.png,606a03dbdf3d,img_606a03dbdf3d,boyfriend1.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend1.png,
boyfriend10.png,abdd2db96992,img_abdd2db96992,boyfriend10.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend10.png,
boyfriend11.png,38c9a459b837,img_38c9a459b837,boyfriend11.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend11.png,
boyfriend12.png,bd9a163b5d86,img_bd9a163b5d86,boyfriend12.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend12.png,
boyfriend13.png,93a53e6e4a51,img_93a53e6e4a51,boyfriend13.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend13.png,
boyfriend14.png,de9c8332856b,img_de9c8332856b,boyfriend14.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend14.png,
boyfriend15.png,c713bf907693,img_c713bf907693,boyfriend15.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend15.png,
boyfriend16.png,6ed5628fa0da,img_6ed5628fa0da,boyfriend16.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend16.png,
boyfriend17.png,eff4f1279dcb,img_eff4f1279dcb,boyfriend17.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend17.png,
boyfriend18.png,a1601c9f4eb2,img_a1601c9f4eb2,boyfriend18.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend18.png,
boyfriend19.png,a25cf518c214,img_a25cf518c214,boyfriend19.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend19.png,
boyfriend2.png,853fb4fed165,img_853fb4fed165,boyfriend2.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend2.png,
boyfriend20.png,6644ec428eed,img_6644ec428eed,boyfriend20.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend20.png,
boyfriend21.png,355fa9857f67,img_355fa9857f67,boyfriend21.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend21.png,
boyfriend22.png,b05ae05e0443,img_b05ae05e0443,boyfriend22.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend22.png,
boyfriend23.png,54a0b51455ef,img_54a0b51455ef,boyfriend23.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend23.png,
boyfriend24.png,9b18447b7436,img_9b18447b7436,boyfriend24.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend24.png,
boyfriend25.png,1ed872452477,img_1ed872452477,boyfriend25.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend25.png,
boyfriend26.png,e88a15995996,img_e88a15995996,boyfriend26.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend26.png,
boyfriend27.png,e7742217b78f,img_e7742217b78f,boyfriend27.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend27.png,
boyfriend3.png,7a4a960a7b8d,img_7a4a960a7b8d,boyfriend3.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend3.png,
boyfriend4.png,700e1d68e25e,img_700e1d68e25e,boyfriend4.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend4.png,
boyfriend5.png,ba89e3275c95,img_ba89e3275c95,boyfriend5.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend5.png,
boyfriend6.png,58bdcb77cdb9,img_58bdcb77cdb9,boyfriend6.png,yes,,,64,32,boyfriend0..27 x28 (law 0..27: ok),,BoyfriendRenderer,boyfriend,boyfriend6.png,
