registry_name,java_class,category,width,height,model_class,tier,artist_tier,animation_class,status,status_note,geo_file,rig_source,in_game,animation_file,bbmodel_file,spec_file,bones,cubes,clips_shipped,textures_referenced,canonical_textures,expected_scale,expected_shadow,pin_status,harness_proof,hitbox_profile,locked_bones,artist_scope,effort_hours,effort_source,client_files,notes
alien,Alien,MONSTER,1.1,3.25,ModelAlien,1,Tier 1 (boss),FK-chained — procedural child transforms form an FK chain,classic only,"Tier 1 model ModelAlien; no geo landed yet — packaged from the reference leg's converter output (reference_alien.geo.json: the rig is not yet in-game, its bone names final)",reference_alien.geo.json,reference-leg converter output,no,,alien.bbmodel,SPEC.md,55,55,0,1,1,1.1,0.385,pin,reference_model_proofs.json,,16,"full contract (Tier 1, the FK-chained class: geckolib_migration_design.md section 5) with the §8.1 locks; the rig is not yet in-game (it lands through the seam in a later slice)",38.8,generator: 8 h + 0.15 h/bone x 55 + 1.5 h/clip x 15 to author or improve (owner adjusts),AlienRenderer,
alien_boss,AlienBoss,MONSTER,1.4,3.5,ModelAlien,1,Tier 1 (boss),FK-chained — procedural child transforms form an FK chain,classic only,"Tier 1 model ModelAlien; no geo landed yet — packaged from the reference leg's converter output (reference_alien.geo.json: the rig is not yet in-game, its bone names final)",reference_alien.geo.json,reference-leg converter output,no,,alien_boss.bbmodel,SPEC.md,55,55,0,1,1,,,no pin,reference_model_proofs.json,,16,"full contract (Tier 1, the FK-chained class: geckolib_migration_design.md section 5) with the §8.1 locks; the rig is not yet in-game (it lands through the seam in a later slice)",40.2,generator: 8 h + 0.15 h/bone x 55 + 1.5 h/clip x 16 to author or improve (owner adjusts),AlienRenderer,
alosaurus,Alosaurus,MONSTER,1.9,3.6,ModelAlosaurus,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,alosaurus.geo.json,shipped,yes,alosaurus.animation.json,alosaurus.bbmodel,SPEC.md,21,21,0,1,1,1,1,pin,,,0,"full contract (Tier 2, the gait-scaled class (with an attacking branch on the jaw): geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fourth Tier-2 slice (T2d, 2026-09-14)",20.2,generator: 4 h + 0.2 h/bone x 21 + 1 h/clip x 12 to author or improve (owner adjusts),AlosaurusRenderer;AlosaurusGeoReplacement,
attack_squid,AttackSquid,WATER_CREATURE,1,1.25,ModelAttackSquid,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,attacksquid.geo.json,shipped,yes,attacksquid.animation.json,attack_squid.bbmodel,SPEC.md,9,9,0,1,1,0.9,0.225,pin,,,0,"full contract (Tier 2, the gait-scaled class (a walking / idle amplitude branch on the threshold): geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fourth Tier-2 slice (T2d, 2026-09-14)",18.8,generator: 4 h + 0.2 h/bone x 9 + 1 h/clip x 13 to author or improve (owner adjusts),AttackSquidRenderer;AttackSquidGeoReplacement,
band_p,BandP,MONSTER,0.75,1.75,ModelBandP,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,bandp.geo.json,shipped,yes,bandp.animation.json,band_p.bbmodel,SPEC.md,7,7,0,2,2,1,1,pin,,,0,"full contract (Tier 2, the gait-scaled class (with a standing branch of small sways): geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fourth Tier-2 slice (T2d, 2026-09-14)",15.4,generator: 4 h + 0.2 h/bone x 7 + 1 h/clip x 10 to author or improve (owner adjusts),BandPRenderer;BandPGeoReplacement,
basilisk,Basilisk,MONSTER,1.6,3.5,ModelBasilisk,1,Tier 1 (boss),gait-scaled — trigonometric pose depends on limbSwingAmount,classic only,"Tier 1 model ModelBasilisk; no geo landed yet — packaged from the reference leg's converter output (reference_basilisk.geo.json: the rig is not yet in-game, its bone names final)",reference_basilisk.geo.json,reference-leg converter output,no,,basilisk.bbmodel,SPEC.md,21,21,0,1,1,1.25,0.625,pin,reference_model_proofs.json,,8,"full contract (Tier 1, the gait-scaled class: geckolib_migration_design.md section 5) with the §8.1 locks; the rig is not yet in-game (it lands through the seam in a later slice)",24.6,generator: 8 h + 0.15 h/bone x 21 + 1.5 h/clip x 9 to author or improve (owner adjusts),BasiliskRenderer,
cave_fisher,CaveFisher,MONSTER,1.35,0.75,ModelCaveFisher,2,Tier 2,state-branching — setupAnim branches on entity state,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,cavefisher.geo.json,shipped,yes,cavefisher.animation.json,cave_fisher.bbmodel,SPEC.md,75,75,0,1,1,0.75,0.2625,pin,,,0,"full contract (Tier 2, the state-branching class (an attacking branch on the claw-snap odds; a client-side random latch): geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fifth Tier-2 slice (T2e, 2026-09-15)",30,generator: 4 h + 0.2 h/bone x 75 + 1 h/clip x 11 to author or improve (owner adjusts),CaveFisherRenderer;CaveFisherGeoReplacement,
cloud_shark,CloudShark,MONSTER,1,0.75,ModelCloudShark,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,cloudshark.geo.json,shipped,yes,cloudshark.animation.json,cloud_shark.bbmodel,SPEC.md,8,8,0,1,1,1,0.5,pin,,,0,"full contract (Tier 2, the simple-cyclic class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2)",15.6,generator: 4 h + 0.2 h/bone x 8 + 1 h/clip x 10 to author or improve (owner adjusts),CloudSharkRenderer;CloudSharkGeoReplacement,
crab,Crab,MONSTER,2.5,3.5,ModelCrab,2,Tier 2,state-branching — setupAnim branches on entity state,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,crab.geo.json,shipped,yes,crab.animation.json,crab.bbmodel,SPEC.md,46,46,0,1,1,dynamic,0.99,pin,,,0,"full contract (Tier 2, the state-branching class (an attacking branch on the eyes, mouth and claws; the renderer's scale is the entity's): geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fourth Tier-2 slice (T2d, 2026-09-14)",27.2,generator: 4 h + 0.2 h/bone x 46 + 1 h/clip x 14 to author or improve (owner adjusts),CrabRenderer;CrabGeoReplacement,
creeping_horror,CreepingHorror,MONSTER,0.75,0.5,ModelCreepingHorror,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,creepinghorror.geo.json,shipped,yes,creepinghorror.animation.json,creeping_horror.bbmodel,SPEC.md,26,26,0,1,1,0.75,0.3375,pin,,,0,"full contract (Tier 2, the gait-scaled class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fourth Tier-2 slice (T2d, 2026-09-14)",21.2,generator: 4 h + 0.2 h/bone x 26 + 1 h/clip x 12 to author or improve (owner adjusts),CreepingHorrorRenderer;CreepingHorrorGeoReplacement,
cryolophosaurus,Cryolophosaurus,MONSTER,0.75,0.75,ModelCryolophosaurus,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,cryolophosaurus.geo.json,shipped,yes,cryolophosaurus.animation.json,cryolophosaurus.bbmodel,SPEC.md,20,20,0,1,1,0.5,0.375,pin,,,0,"full contract (Tier 2, the gait-scaled class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fourth Tier-2 slice (T2d, 2026-09-14)",16,generator: 4 h + 0.2 h/bone x 20 + 1 h/clip x 8 to author or improve (owner adjusts),CryolophosaurusRenderer;CryolophosaurusGeoReplacement,
